推,噓,分數,作者,標題,時間
7,1,6,chart (まどか　ＮＯ.１ ＼(^O^)),[新聞] 台北大晴天！公館捷運站出口卻「下大雨」　民眾撩褲避積水,Sun Nov  1 10:44:11 2020
47,9,38,sleeeve (赴美留學的日子...),[問卦] 10公里慢跑跑53分鐘算怎樣呢?,Sun Nov  1 08:56:23 2020
2,1,1,BerserkerAxe (織織),[問卦] 誰是下一位受害者,Sun Nov  1 01:32:53 2020
13,1,12,e1447e (e1447e),[問卦] 灌籃高手放到現在還會是神作嗎？,Sun Nov  1 09:58:34 2020
2,2,0,XSR700 (39.8萬不買嗎?),[問卦] 反串不小心吸到真粉怎麼辦?,Sun Nov  1 10:11:24 2020
21,10,11,VOLK11 (VOLK),[新聞] 北市男童裸身疑遭虐未安置 目前仍與生父繼母住,Sun Nov  1 00:59:48 2020
3,0,3,hotaru3456 (白河),[新聞] 美售台岸防魚叉飛彈可拒敵境,Sun Nov  1 03:34:36 2020
131,30,101,kbten (kbten),[新聞] 長榮女大生命案 成馬來西亞華文媒體頭版,Sun Nov  1 09:32:47 2020
34,5,29,qwe60038 (OORさいこう),[問卦]  檢舉鄰居賭博 被警察出賣的八卦,Sun Nov  1 01:24:55 2020
1,1,0,voncroy (niflheim一律打趴武力放),[問卦] 是不是很多宗教其實都在搞性活動?,Sun Nov  1 01:32:41 2020
5,3,2,ReiFu21 (ReiFu),[問卦] 鬼滅劇場版給迪士尼來拍有搞頭嗎？,Sun Nov  1 10:12:00 2020
4,0,4,arscerate (萬與雪飄),[問卦] 有沒有喜憨兒基金會的卦,Sun Nov  1 01:13:31 2020
5,9,-4,KouChouChing (20分鐘),[新聞] 拜登兒醜聞傳造假 柯文哲提美疫情確診數,Sun Nov  1 09:52:41 2020
11,8,3,hahaopen (chun),[問卦] 幹比自己小11歲的女生  會有罪惡感嗎,Sun Nov  1 01:30:01 2020
2,1,1,rockon15 (水之呼吸－炭治郎),[問卦] 台南最近多災多難 是不是肉臊飯害的？,Sun Nov  1 09:56:22 2020
4,1,3,BlueGiant (極簡風格 藍巨人),[問卦] Google現在還是創新聖地嗎？,Sun Nov  1 00:31:56 2020
5,6,-1,zxcvbbb ( ),[新聞]一家最後合照曝 女大生媽淚：台灣還我女兒,Sun Nov  1 11:21:16 2020
7,0,7,CavendishJr (真禮梅西姐姐♡),[問卦] 美洲獅梅西的慶生影片,Sun Nov  1 09:51:18 2020
4,1,3,Dinenger (低能兒),[問卦] 沒人覺得一輩子工作很可怕嗎！,Sun Nov  1 03:29:17 2020
113,13,100,leo1990910 (魯刺客 Leo l'assassino),代號「X-,Sun Nov  1 07:02:52 2020
7,2,5,pp771017 (橫艾),[問卦] 有沒有天上碑的八卦？,Sun Nov  1 03:36:43 2020
12,4,8,wizard12379 (聖光會護佑我),[爆卦] 天鵝颱風成為21世紀以來的風王,Sun Nov  1 04:46:24 2020
9,1,8,kiki1219 (=大坪林書豪=),[問卦] 如何安慰象迷朋友？,Sun Nov  1 09:03:31 2020
13,18,-5,sukiyasuica (suica),[新聞] 安心旅遊補助結束 旅行業：恐撐不到過年,Sun Nov  1 08:48:25 2020
5,1,4,cc02040326 (茶包),[問卦] 我老婆變石頭了該怎麼辦？,Sun Nov  1 00:33:56 2020
81,1,80,poeta (鍵盤詩人),[問卦] 有遊戲間 點心間 休息間的公司真的存在嗎,Sun Nov  1 00:49:35 2020
5,0,5,currry (南港李國毅),[問卦] 警察是不是專心維護治安就好,Sun Nov  1 00:43:59 2020
11,12,-1,bagafuok (噗噗),[問卦]  泰國已經超越臺灣了嗎?,Sun Nov  1 10:03:22 2020
75,9,66,gedian (隨風飄零),[問卦] 跟風老警察吃案,Sun Nov  1 03:44:41 2020
0,3,-3,seth5421 (正版廢文王),[問卦] 如果可以改一次id大家會改什麼,Sun Nov  1 10:30:31 2020
